"Dist Code","Year","State Code","State Name","Dist Name","RICE IRRIGATED AREA (1000 ha)"
"506","2005","11","Tamil Nadu","Dharmapuri","28.82"
"506","2006","11","Tamil Nadu","Dharmapuri","20.81"
"506","2007","11","Tamil Nadu","Dharmapuri","18.54"
"506","2008","11","Tamil Nadu","Dharmapuri","20.22"
"506","2009","11","Tamil Nadu","Dharmapuri","20.31"
"506","2010","11","Tamil Nadu","Dharmapuri","22.86"
"506","2011","11","Tamil Nadu","Dharmapuri","27.07"
"506","2012","11","Tamil Nadu","Dharmapuri","11.82"
"506","2013","11","Tamil Nadu","Dharmapuri","26.54"
"506","2014","11","Tamil Nadu","Dharmapuri","18.3"
"506","2015","11","Tamil Nadu","Dharmapuri","33.35"
"506","2016","11","Tamil Nadu","Dharmapuri","11.4"
"507","1990","11","Tamil Nadu","Periyar(Erode)","64.26"
"507","1991","11","Tamil Nadu","Periyar(Erode)","75.47"
"507","1992","11","Tamil Nadu","Periyar(Erode)","75.66"
"507","1993","11","Tamil Nadu","Periyar(Erode)","68.28"
"507","1994","11","Tamil Nadu","Periyar(Erode)","64.64"
"507","1995","11","Tamil Nadu","Periyar(Erode)","61.51"
"507","1996","11","Tamil Nadu","Periyar(Erode)","67.39"
"507","1997","11","Tamil Nadu","Periyar(Erode)","60.72"
"507","1998","11","Tamil Nadu","Periyar(Erode)","57.83"
"507","1999","11","Tamil Nadu","Periyar(Erode)","60.21"
"507","2000","11","Tamil Nadu","Periyar(Erode)","57.89"
"507","2001","11","Tamil Nadu","Periyar(Erode)","50.35"
"507","2002","11","Tamil Nadu","Periyar(Erode)","16.58"
"507","2003","11","Tamil Nadu","Periyar(Erode)","16.58"
"507","2004","11","Tamil Nadu","Periyar(Erode)","55.24"
"507","2005","11","Tamil Nadu","Periyar(Erode)","43.42"
"507","2006","11","Tamil Nadu","Periyar(Erode)","38.42"
"507","2007","11","Tamil Nadu","Periyar(Erode)","38.27"
"507","2008","11","Tamil Nadu","Periyar(Erode)","38.0"
"507","2009","11","Tamil Nadu","Periyar(Erode)","38.07"
"507","2010","11","Tamil Nadu","Periyar(Erode)","36.62"
"507","2011","11","Tamil Nadu","Periyar(Erode)","33.69"
"507","2012","11","Tamil Nadu","Periyar(Erode)","6.57"
"507","2013","11","Tamil Nadu","Periyar(Erode)","30.87"
"507","2014","11","Tamil Nadu","Periyar(Erode)","37.17"
"507","2015","11","Tamil Nadu","Periyar(Erode)","34.33"
"507","2016","11","Tamil Nadu","Periyar(Erode)","0.69"
"508","1990","11","Tamil Nadu","Pudukkottai","64.31"
"508","1991","11","Tamil Nadu","Pudukkottai","72.95"
"508","1992","11","Tamil Nadu","Pudukkottai","90.18"
"508","1993","11","Tamil Nadu","Pudukkottai","96.84"
"508","1994","11","Tamil Nadu","Pudukkottai","82.84"
"508","1995","11","Tamil Nadu","Pudukkottai","49.11"
"508","1996","11","Tamil Nadu","Pudukkottai","75.07"
"508","1997","11","Tamil Nadu","Pudukkottai","78.65"
"508","1998","11","Tamil Nadu","Pudukkottai","90.69"
"508","1999","11","Tamil Nadu","Pudukkottai","90.38"
"508","2000","11","Tamil Nadu","Pudukkottai","85.63"
"508","2001","11","Tamil Nadu","Pudukkottai","77.39"
"508","2002","11","Tamil Nadu","Pudukkottai","71.14"
"508","2003","11","Tamil Nadu","Pudukkottai","68.95"
"508","2004","11","Tamil Nadu","Pudukkottai","85.85"
"508","2005","11","Tamil Nadu","Pudukkottai","89.22"
"508","2006","11","Tamil Nadu","Pudukkottai","85.23"
"508","2007","11","Tamil Nadu","Pudukkottai","79.9"
"508","2008","11","Tamil Nadu","Pudukkottai","86.63"
"508","2009","11","Tamil Nadu","Pudukkottai","86.46"
"508","2010","11","Tamil Nadu","Pudukkottai","85.0"
"508","2011","11","Tamil Nadu","Pudukkottai","86.34"
"508","2012","11","Tamil Nadu","Pudukkottai","76.7"
"508","2013","11","Tamil Nadu","Pudukkottai","65.12"
"508","2014","11","Tamil Nadu","Pudukkottai","62.29"
"508","2015","11","Tamil Nadu","Pudukkottai","66.46"
"508","2016","11","Tamil Nadu","Pudukkottai","59.73"
"509","1990","11","Tamil Nadu","Dindigul Anna","21.95"
"509","1991","11","Tamil Nadu","Dindigul Anna","19.67"
"509","1992","11","Tamil Nadu","Dindigul Anna","23.38"
"509","1993","11","Tamil Nadu","Dindigul Anna","30.51"
"509","1994","11","Tamil Nadu","Dindigul Anna","31.53"
"509","1995","11","Tamil Nadu","Dindigul Anna","18.73"
"509","1996","11","Tamil Nadu","Dindigul Anna","23.29"
"509","1997","11","Tamil Nadu","Dindigul Anna","27.59"
"509","1998","11","Tamil Nadu","Dindigul Anna","27.12"
"509","1999","11","Tamil Nadu","Dindigul Anna","28.34"
"509","2000","11","Tamil Nadu","Dindigul Anna","22.94"
"509","2001","11","Tamil Nadu","Dindigul Anna","16.11"
"509","2002","11","Tamil Nadu","Dindigul Anna","15.37"
"509","2003","11","Tamil Nadu","Dindigul Anna","11.44"
"509","2004","11","Tamil Nadu","Dindigul Anna","21.03"
"509","2005","11","Tamil Nadu","Dindigul Anna","23.74"
"509","2006","11","Tamil Nadu","Dindigul Anna","18.61"
"509","2007","11","Tamil Nadu","Dindigul Anna","17.28"
"509","2008","11","Tamil Nadu","Dindigul Anna","19.64"
"509","2009","11","Tamil Nadu","Dindigul Anna","16.64"
"509","2010","11","Tamil Nadu","Dindigul Anna","18.35"
"509","2011","11","Tamil Nadu","Dindigul Anna","19.16"
"509","2012","11","Tamil Nadu","Dindigul Anna","9.48"
"509","2013","11","Tamil Nadu","Dindigul Anna","4.23"
"509","2014","11","Tamil Nadu","Dindigul Anna","12.07"
"509","2015","11","Tamil Nadu","Dindigul Anna","14.99"
"509","2016","11","Tamil Nadu","Dindigul Anna","1.52"
"510","1990","11","Tamil Nadu","Virudhunagar Kamarajar","33.76"
"510","1991","11","Tamil Nadu","Virudhunagar Kamarajar","19.55"
"510","1992","11","Tamil Nadu","Virudhunagar Kamarajar","32.09"
"510","1993","11","Tamil Nadu","Virudhunagar Kamarajar","35.51"
"510","1994","11","Tamil Nadu","Virudhunagar Kamarajar","33.26"
"510","1995","11","Tamil Nadu","Virudhunagar Kamarajar","17.06"
"510","1996","11","Tamil Nadu","Virudhunagar Kamarajar","25.79"
"510","1997","11","Tamil Nadu","Virudhunagar Kamarajar","35.22"
"510","1998","11","Tamil Nadu","Virudhunagar Kamarajar","36.77"
"510","1999","11","Tamil Nadu","Virudhunagar Kamarajar","32.53"
"510","2000","11","Tamil Nadu","Virudhunagar Kamarajar","26.01"
"510","2001","11","Tamil Nadu","Virudhunagar Kamarajar","29.34"
"510","2002","11","Tamil Nadu","Virudhunagar Kamarajar","31.56"
"510","2003","11","Tamil Nadu","Virudhunagar Kamarajar","24.11"
"510","2004","11","Tamil Nadu","Virudhunagar Kamarajar","28.91"
"510","2005","11","Tamil Nadu","Virudhunagar Kamarajar","30.43"
"510","2006","11","Tamil Nadu","Virudhunagar Kamarajar","32.19"
"510","2007","11","Tamil Nadu","Virudhunagar Kamarajar","26.84"
"510","2008","11","Tamil Nadu","Virudhunagar Kamarajar","30.96"
"510","2009","11","Tamil Nadu","Virudhunagar Kamarajar","25.22"
"510","2010","11","Tamil Nadu","Virudhunagar Kamarajar","28.88"
"510","2011","11","Tamil Nadu","Virudhunagar Kamarajar","28.65"
